matrix_dimension,alpha,||x - x_reg||,spectral_condition_number,volume_condition_number,angular_condition_number,best_alpha,best_alpha_check
20,0.01,0.0002922122100050864,175.41490647721744,3798.5025781355234,10.508303615964113,1e-09,True
20,0.001,2.9218535894293066e-05,175.43576087416423,3798.5733453900784,10.50812366052291,1e-09,True
20,0.0001,2.9218267436630903e-06,175.43784711619958,3798.580435400823,10.508105711302779,1e-09,True
20,1e-05,2.921824059307854e-07,175.43805574842793,3798.581144534781,10.508103916844057,1e-09,True
20,1e-06,2.9218237880760248e-08,175.43807661173096,3798.5812154494906,10.50810373740283,1e-09,True
20,1e-07,2.921823138014641e-09,175.43807869806224,3798.5812225409254,10.508103719458747,1e-09,True
20,1e-08,2.921828530605395e-10,175.43807890669524,3798.581223250124,10.50810371766434,1e-09,True
20,1e-09,2.921821628893002e-11,175.43807892755862,3798.5812233210368,10.508103717484897,1e-09,True
