matrix_dimension,A_spectral_condition_number,A_volume_condition_number,A_angular_condition_number,Q_spectral_condition_number,Q_volume_condition_number,Q_angular_condition_number,R_spectral_condition_number,R_volume_condition_number,R_angular_condition_number
2,5.710322666392276,2.756123819846462,2.756123819846462,2.0000000000000004,1.0,1.0,5.710322666392276,1.1897780896581955,1.1897780896581953
3,4.58868404524783,1.414928438123048,1.3030582062710938,2.9999999999999996,0.9999999999999997,1.0,4.58868404524783,1.2551153049910277,1.2543629186330127
4,14.240571363968503,5.204940710155602,3.067907379371536,4.0,0.9999999999999999,1.0,14.240571363968499,2.8400559615435443,2.0959738548413593
5,12.00299326992509,2.8780847618449754,1.7646092686435741,4.999999999999999,0.9999999999999998,1.0,12.00299326992509,3.488598089961233,2.718561709582066
6,39.2450337711083,1.6240692666835346,1.3932387579273864,6.000000000000001,0.9999999999999998,1.0,39.2450337711083,6.346730991785502,4.361281787424576
7,16.709735307086035,8.262937893204398,4.168085869372146,6.999999999999999,0.9999999999999997,1.0,16.709735307086035,4.485875433391437,2.2760366728035613
