matrix_dimension,A_spectral_condition_number,A_volume_condition_number,A_angular_condition_number,Q_spectral_condition_number,Q_volume_condition_number,Q_angular_condition_number,R_spectral_condition_number,R_volume_condition_number,R_angular_condition_number
2,19.333333333333336,8.062257748298551,8.062257748298553,2.0000000000000004,0.9999999999999998,0.9999999999999999,19.333333333333343,1.1333333333333335,1.1333333333333333
3,526.1588210797212,758.0469972237893,172.88724649319917,3.0,0.9999999999999999,1.0,526.1588210797225,1.7349636804441044,1.6437035980299155
4,15613.79355964483,937085.8716080086,4020.9134534334476,3.9999999999999996,1.0000000000000002,1.0,15613.793559643187,4.051327904017911,2.6973580211051242
5,480849.1169979506,16085725624.31369,95157.69988994078,4.999999999999999,0.9999999999999999,0.9999999999999999,480849.1169943765,15.503314119526767,4.486153010395143
6,15118987.12835571,3955105185818520.5,2441571.413401966,6.0,1.0000000000000002,1.0,15118987.126897793,101.16302920262541,7.494748830452229
7,481747253.692991,1.4210002976101978e+22,71621856.84347664,7.000000000000001,1.0000000000000002,1.0000000000000002,481747253.3878426,1151.867399541483,14.084519134762601
