matrix_dimension,decimal_places,||x_0 - x||,spectral_condition_number,volume_condition_number,angular_condition_number
2,2,8.005932084973442e-16,20.111249999999995,8.372434308491169,8.372434308491169
2,3,8.005932084973442e-16,19.40830120481927,8.092146498567294,8.092146498567294
2,4,7.447602459741819e-16,19.340803001200484,8.065235781729347,8.06523578172935
2,5,0.0,19.334080030001196,8.06255544365525,8.062555443655247
2,6,0.0,19.333408000300004,8.062287516754784,8.062287516754784
2,7,7.447602459741819e-16,19.333340800002997,8.06226072513338,8.06226072513338
3,2,1.6572669890145167e-13,3898.864214520033,5522.71913257257,1296.443168399157
3,3,8.522724507958325e-15,575.0165322658206,827.0641468345667,189.1785652576386
3,4,7.78740535023478e-15,530.6592501680528,764.4043299751614,174.38803423940178
3,5,7.78740535023478e-15,526.6053418003752,758.6777546195267,173.0361521538454
3,6,4.2998896178429864e-14,526.2034382324258,758.1100236319508,172.9021254288883
3,7,2.8797396177668367e-14,526.1632824460936,758.0532993717088,172.88873427056282
4,2,3.923660740106592e-15,514.0727288493337,34822.39066537982,132.4258448538094
4,3,7.789351958276742e-14,8002.156615507874,486007.37043070333,2059.325799402532
4,4,0.6780012071185583,19935.102739222293,1195831.412588314,5134.809152554366
4,5,0.054607595396258375,16023.412881603297,961706.6044596793,4126.448203960918
4,6,1.2826420585781461e-13,15672.241804937032,940622.2233394167,4035.95839231589
4,7,1.532630615905869e-14,15620.840889419676,937513.3212604468,4022.7268531025497
5,2,1.3096655695923531,571.4146422057843,1413686.8388746204,144.93853298808983
5,3,5.5714615301894575e-14,7708.134729932401,171514448.4142553,1607.8278238153762
5,4,3.6642147581847415,138544.79220050512,4851435259.659171,26519.459242156023
5,5,1.3397115481642738,538541.5839644335,18052453225.253536,106326.7524163741
5,6,1.881103453327561e-11,556903.3367682346,18616073152.405914,110194.4232567634
5,7,2.364693160782839e-12,491704.9919437597,16446615080.22829,97305.46066126371
6,2,1.624585081170152,641.807340644511,23499606.09615785,132.94449495959498
6,3,4.10711968881845e-13,29874.267987023366,290660905120.8774,5110.287011377996
6,4,2.678162923811008,130161.14197404822,13272700487584.422,21673.52285749693
6,5,9.614304890690716,7837948.7738409415,2518683108849011.0,1249050.8358946426
6,6,8.166565835704128e-12,7549401.029954658,1983878118793434.0,1233915.4798789774
6,7,6.953180048624384e-10,29150432.163960308,7618742487192565.0,4718755.905032643
7,2,0.30776077152097836,742.0085434389188,749045535.5546277,106.60538889964917
7,3,2.553630975445125e-13,14214.549508562313,37208234069983.38,2257.6375920246774
7,4,3.5534578397289427,169993.09237973153,5.734347458695943e+16,25477.37467161561
7,5,5.575367762614742,8274198.508321632,5.169976640314118e+19,1279145.258345102
7,6,0.7859168814699607,7712266.891035464,1.8345910603490758e+20,1099950.9764834486
7,7,2.2034379972005795,129111908.69685067,3.824421898482247e+21,19582455.38960313
