n,cond_A,cond_B,error_norm
2,51.397210357792304,7.22309570888583,8.676916779265165e-14
3,3466.7227052362514,60.29150633629966,7.076656799918501e-12
4,308287.8649822506,581.8039472612791,1.1086150786602514e-09
5,35089108.35052956,6421.667856637301,1.5517542476073065e-08
6,4976100688.5492115,80378.16059515387,3.3626838651065854e-06
7,857216155224.6528,1130827.9688497288,0.0006226887259086388
8,174997190504326.9,17679470.43023019,0.028491567079750226
9,3.883080108721154e+16,310145942.46635497,4.711528058680538
